Genre,count
Drama,85
"Drama, Romance",37
"Comedy, Drama",35
"Comedy, Drama, Romance",31
"Action, Crime, Drama",30
"Biography, Drama, History",28
"Crime, Drama, Thriller",28
"Crime, Drama, Mystery",27
"Crime, Drama",26
"Animation, Adventure, Comedy",24
"Action, Adventure, Sci-Fi",21
"Biography, Crime, Drama",16
"Drama, War",15
"Comedy, Crime, Drama",15
"Action, Adventure, Drama",14
"Drama, Thriller",14
Comedy,13
"Biography, Drama",12
"Animation, Action, Adventure",11
"Action, Adventure, Comedy",10
"Action, Crime, Thriller",10
"Animation, Adventure, Family",9
"Drama, Mystery, Thriller",9
"Mystery, Thriller",9
"Biography, Drama, Sport",9
"Adventure, Comedy, Drama",8
"Action, Biography, Drama",7
"Comedy, Drama, Family",7
"Biography, Drama, Music",7
"Animation, Adventure, Drama",7
"Adventure, Family, Fantasy",7
"Comedy, Romance",7
"Biography, Comedy, Drama",7
"Drama, Music, Romance",7
"Drama, Sci-Fi",6
"Drama, History, War",6
"Action, Adventure, Fantasy",6
"Adventure, Biography, Drama",6
"Comedy, Crime",6
"Drama, Mystery, Romance",6
"Drama, Music",6
"Drama, Sport",6
"Action, Comedy, Crime",6
"Adventure, Drama, Fantasy",6
"Crime, Drama, Romance",5
"Action, Adventure, Thriller",5
"Crime, Drama, Film-Noir",5
"Action, Drama",5
"Animation, Family, Fantasy",5
"Action, Adventure",5
"Action, Drama, Mystery",5
"Drama, Western",5
"Drama, Mystery, Sci-Fi",5
"Comedy, Drama, War",5
"Adventure, Drama, History",4
"Animation, Drama, Fantasy",4
"Drama, Romance, War",4
"Drama, Sci-Fi, Thriller",4
"Drama, Horror, Sci-Fi",4
"Horror, Mystery, Thriller",4
"Action, Drama, Thriller",4
"Drama, Horror",4
"Animation, Drama, Family",4
"Comedy, Drama, Fantasy",4
"Biography, Drama, Family",4
"Drama, Horror, Thriller",4
"Adventure, Drama, Western",4
"Adventure, Drama",4
"Adventure, Drama, Thriller",4
"Drama, Mystery",4
Western,4
"Drama, History, Thriller",4
"Drama, Fantasy, Romance",4
"Drama, Film-Noir",4
"Action, Drama, War",3
"Drama, Family",3
"Action, Sci-Fi",3
"Crime, Drama, Fantasy",3
"Drama, Music, Musical",3
"Comedy, Drama, Musical",3
"Drama, Family, Musical",3
"Biography, Drama, Thriller",3
"Crime, Mystery, Thriller",3
"Drama, Thriller, War",3
"Drama, History",3
"Comedy, Drama, Music",3
"Crime, Thriller",3
"Action, Comedy, Fantasy",3
"Comedy, Fantasy, Romance",3
"Action, Biography, Crime",3
"Action, Drama, History",3
"Comedy, Drama, Thriller",3
"Adventure, Drama, Sci-Fi",3
"Animation, Action, Crime",3
"Action, Mystery, Thriller",3
"Adventure, Comedy, Family",3
"Action, Thriller",3
"Adventure, Comedy, Sci-Fi",3
"Adventure, Drama, Romance",2
"Animation, Biography, Drama",2
"Drama, Fantasy, Mystery",2
"Mystery, Sci-Fi, Thriller",2
"Drama, Film-Noir, Mystery",2
"Action, Drama, Western",2
"Comedy, Horror",2
"Action, Sci-Fi, Thriller",2
"Drama, Fantasy, Music",2
"Comedy, Music, Musical",2
"Drama, Romance, Thriller",2
"Action, Adventure, Western",2
"Action, Drama, Sci-Fi",2
"Adventure, Drama, War",2
"Drama, Romance, Sci-Fi",2
"Drama, Family, Sport",2
"Drama, Film-Noir, Romance",2
"Adventure, Sci-Fi",2
"Horror, Sci-Fi",2
"Horror, Thriller",2
"Drama, Mystery, War",2
"Action, Adventure, War",2
"Drama, History, Romance",2
Horror,2
"Action, Comedy, Romance",2
"Adventure, Comedy, Fantasy",2
"Comedy, War",2
"Adventure, Comedy, Crime",2
"Animation, Comedy, Drama",2
"Drama, Family, Fantasy",2
"Comedy, Family",2
"Adventure, Fantasy",2
"Animation, Biography, Crime",1
"Crime, Drama, History",1
"Adventure, Biography, Crime",1
"Fantasy, Horror",1
"Adventure, Horror, Sci-Fi",1
"Drama, History, Mystery",1
"Action, Comedy, Mystery",1
"Action, Crime, Mystery",1
"Family, Sci-Fi",1
"Drama, War, Western",1
"Animation, Drama, Romance",1
"Action, Adventure, Mystery",1
"Action, Adventure, Crime",1
